"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","PeakQuarter"
2013-09-30,"La Mirada","CA","Los Angeles","Los Angeles",815,439900,-0.0105713000449843,0.0290058479532164,0.214857774095554,0.026966054678478,0.0187287010820694,13557,"2006-03",584700,-0.247648366683769,"2004-05","2006-Q1"
2013-09-30,"Cypress","CA","Los Angeles","Orange",816,518700,-0.0112466641250477,0.00835925349922239,0.138498683055312,0.0208717972599815,0.0230494344675294,12896,"2006-01",642400,-0.192559153175592,"2004-05","2006-Q1"
2013-09-30,"Poway","CA","San Diego","San Diego",817,556300,-0.0131275501153096,0.0181185944363104,0.17338114321873,0.0316257543713565,0.0199016548906841,13370,"2005-02",624600,-0.109349983989753,"2004-05","2005-Q1"
2013-09-30,"Parkersburg","WV","Parkersburg","Wood",818,72600,-0.00683994528043776,0.0446043165467626,0.0371428571428571,0.00905637389233127,0.0172285009857427,16616,"2006-03",73400,-0.0108991825613079,"2006-03","2006-Q1"
2013-09-30,"Middletown","OH","Cincinnati","Butler",819,70100,0.00718390804597701,0.0385185185185185,0.0718654434250764,-0.0346109953165443,-0.0268203496212092,15796,"2005-12",97800,-0.283231083844581,"1997-07","2005-Q4"
2013-09-30,"Castro Valley","CA","San Francisco","Alameda",820,591800,0.00646258503401361,0.0408019697502638,0.282618118768964,0.0422018022138519,0.02177801603563,16035,"2006-02",700500,-0.155174875089222,"2004-11","2006-Q1"
2013-09-30,"Middletown","CT","Hartford","Middlesex",821,195800,0.0113636363636364,0.0294426919032597,0.0728767123287671,-0.0248917613645353,0.00744624123087356,11338,"2008-03",234800,-0.166098807495741,"2004-11","2008-Q1"
2013-09-30,"Fallbrook","CA","San Diego","San Diego",822,429700,-0.0103638876093966,0.0211501901140684,0.197936994703095,0.0041469780154586,0.00490029302644257,11857,"2005-11",589500,-0.271077184054283,"2003-11","2005-Q4"
2013-09-30,"Aloha","OR","Portland","Washington",823,226900,0.0102404274265361,0.0558399255467659,0.197993664202745,-0.00477867227836282,0.0295344058030331,14843,"2007-06",258400,-0.121904024767802,"2006-02","2007-Q2"
2013-09-30,"Chantilly","VA","Washington","Loudoun",824,487800,0.00349722279366386,0.0350095480585614,0.116502632181277,0.0307263690038064,0.0274717397847262,13669,"2006-01",591100,-0.174758924039926,"2004-10","2006-Q1"
2013-09-30,"Catonsville","MD","Baltimore","Baltimore",825,274300,0.00882677454946672,0.0433624952453404,0.143869891576314,-0.00495642856819389,0.0402288384866125,14703,"2006-03",321000,-0.145482866043614,"2005-05","2006-Q1"
2013-09-30,"East Lansing","MI","Lansing","Ingham",826,154500,0.0151116951379763,0.062585969738652,0.0774058577405858,-0.0148488941452345,-0.0224083777488482,5413,"2005-12",216800,-0.287361623616236,"2000-07","2005-Q4"
2013-09-30,"Pinellas Park","FL","Tampa","Pinellas",827,96600,0.00311526479750779,0.0769230769230769,0.216624685138539,-0.0465512993180854,-0.0116409799544765,15083,"2006-02",176700,-0.453310696095076,"2003-01","2006-Q1"
2013-09-30,"Redford","MI","Detroit","Wayne",828,50500,-0.00785854616895874,0.0412371134020618,0.237745098039216,-0.106139756443075,-0.0879530140676024,20228,"2005-05",130500,-0.613026819923372,,"2005-Q2"
2013-09-30,"Diamond Bar","CA","Los Angeles","Los Angeles",829,564700,-0.0091244077908405,0.0443869058627705,0.246853610068448,0.0415042907186027,0.0350326989978516,17144,"2006-03",626600,-0.0987871050111714,"2005-06","2006-Q1"
2013-09-30,"Cathedral City","CA","Riverside","Riverside",830,205500,0.0123152709359606,0.0913436006372809,0.298988621997472,-0.0144380900560539,0.00387702667457002,15843,"2006-03",371900,-0.447432105404679,"2003-11","2006-Q1"
2013-09-30,"Dekalb","IL","Chicago","De Kalb",831,121400,-0.0326693227091633,-0.0256821829855538,0.0108243130724396,-0.0578063217885838,-0.0119440817006823,8800,"2007-05",179400,-0.32329988851728,"1999-11","2007-Q2"
2013-09-30,"Methuen","MA","Boston","Essex",832,258100,0.000775494377665762,0.0295173514160351,0.124618736383442,0.00551431629190158,-0.00566956908335603,12808,"2006-02",314100,-0.178287169691181,"2003-06","2006-Q1"
2013-09-30,"Tigard","OR","Portland","Washington",833,298500,0.00471221810838102,0.0357390700902151,0.15967365967366,0.00331581240252055,0.0366341375448058,14025,"2007-06",330100,-0.0957285671008785,"2006-03","2007-Q2"
2013-09-30,"Roseburg","OR","Roseburg","Douglas",834,150100,-0.00530152418820411,-0.0026578073089701,0.0675675675675676,-0.0222804885134547,0.0194501749968099,13755,"2007-02",197900,-0.241536129358262,"2004-12","2007-Q1"
2013-09-30,"Doral","FL","Miami-Fort Lauderdale","Miami-Dade",835,276500,0.0139347268060139,0.0626441199077633,0.172106824925816,0.0147344444853228,0.0263870611461221,15786,"2007-01",384400,-0.280697190426639,"2005-02","2007-Q1"
2013-09-30,"South Hill","WA","Seattle","Pierce",836,217900,0.00600184672206833,0.0430828147438966,0.128430864836872,-0.030041568635075,0.0102882151253421,14152,"2007-02",296500,-0.265092748735245,"2004-08","2007-Q1"
2013-09-30,"Coral Gables","FL","Miami-Fort Lauderdale","Miami-Dade",837,617800,0.0076659598760398,0.0211570247933884,0.161278195488722,0.0240435350349857,0.0175592053979798,16111,"2006-05",810700,-0.237942518810904,"2004-12","2006-Q2"
2013-09-30,"Kannapolis","NC","Charlotte","Cabarrus",838,90000,-0.00110987791342952,0,-0.025974025974026,-0.0264339363717628,0.00680334867886301,18668,"2009-05",104100,-0.135446685878963,"2006-01","2009-Q2"
2013-09-30,"Roseville","MI","Detroit","Macomb",839,54300,0.0168539325842697,0.0773809523809524,0.262790697674419,-0.0798047251116755,-0.0762342451842228,17178,"2005-12",125800,-0.568362480127186,,"2005-Q4"
2013-09-30,"Mentor","OH","Cleveland","Lake",840,144000,-0.00552486187845304,0.000694927032661571,0.0300429184549356,-0.0201156194968559,-0.0150033168428965,18533,"2006-05",176200,-0.182746878547106,"2001-03","2006-Q2"
2013-09-30,"Donna","TX","McAllen","Hidalgo",841,67000,-0.00445765230312036,-0.00887573964497041,0.0244648318042813,0.0663203725544419,0.0301122362479187,8248,"2013-07",68200,-0.0175953079178886,"2013-06","2013-Q3"
2013-09-30,"Wahiawa","HI","Honolulu","Honolulu",842,431900,0,0.0072294776119403,0.0557320948423368,0.0279994506235537,0.0564069881478495,5605,"2007-11",456700,-0.0543026056492227,"2007-03","2007-Q4"
2013-09-30,"Lawrence","IN","Indianapolis","Marion",843,133400,0,0.00679245283018868,0.100660066006601,0.00673049448275642,,12742,"2007-02",140900,-0.0532292405961675,"2006-01","2007-Q1"
2013-09-30,"Highland","CA","Riverside","San Bernardino",844,225000,0.0255241567912489,0.100244498777506,0.273344651952462,-0.0110049143792561,0.0139459578323582,12133,"2006-04",382900,-0.412379211282319,"2004-02","2006-Q2"
2013-09-30,"Hamilton Township","NJ","Trenton","Mercer",845,148500,-0.0113182423435419,-0.0132890365448505,-0.0523292916400766,-0.0574309324520476,-0.00655843406934042,12961,"2006-04",226600,-0.344660194174757,"2003-03","2006-Q2"
2013-09-30,"Aliso Viejo","CA","Los Angeles","Orange",846,500400,-0.0141843971631206,0.0464240903387704,0.284724005134788,0.0422868807780943,0.0165856164860325,15053,"2005-10",612200,-0.182620058804312,"2004-03","2005-Q4"
2013-09-30,"Hoffman Estates","IL","Chicago","Cook",847,208600,0.000959692898272553,0.0409181636726547,0.116104868913858,-0.0397491949830001,-0.0157945057062545,15552,"2007-05",299900,-0.304434811603868,"2002-06","2007-Q2"
2013-09-30,"Garner","NC","Raleigh","Wake",848,146300,0.0103591160220994,0.0353857041755131,0.0671043034281546,0.00655199638377968,0.0197597583291618,15490,"2013-09",146300,0,"2013-09","2013-Q3"
2013-09-30,"Yorktown","VA","Virginia Beach","York",849,286400,-0.00417246175243394,-0.00590072891357168,0.0658727205061407,-0.0202831255694693,0.023246047083455,14071,"2006-04",367700,-0.221104161000816,"2005-02","2006-Q2"
2013-09-30,"Martinez","CA","San Francisco","Contra Costa",850,400300,-0.0162202015237159,0.015989847715736,0.246652133291809,0.00866440763849297,-0.000547932915910931,14900,"2005-10",592900,-0.32484398718165,"2003-09","2005-Q4"
2013-09-30,"Lakeville","MN","Minneapolis-St Paul","Dakota",851,273300,0.00588884799411115,0.0383738601823708,0.161002548853016,-0.00589502666939246,0,14179,"2007-03",327400,-0.165241295051924,"2003-09","2007-Q1"
2013-09-30,"Palm Springs","CA","Riverside","Riverside",852,268200,0.0128398791540786,0.0728,0.259154929577465,0.0147225202588992,0.0250085183575173,30329,"2006-03",385400,-0.304099636741048,"2004-06","2006-Q1"
2013-09-30,"Wellington","FL","Miami-Fort Lauderdale","Palm Beach",853,254100,-0.00509005481597494,0.0188452285485164,0.130841121495327,0.000947195636759712,0.00539059494202698,16365,"2006-01",425900,-0.403381075369805,"2003-12","2006-Q1"
2013-09-30,"Elmhurst","IL","Chicago","Du Page",854,323400,-0.00215982721382289,0.0237416904083571,0.060327868852459,-0.0297933548579487,0.00108874226878464,15164,"2006-03",407300,-0.205990670267616,"2003-11","2006-Q1"
2013-09-30,"Portage","MI","Kalamazoo","Kalamazoo",855,133800,0.00074794315632012,0.0364058869093726,0.0958230958230958,-0.00252191314554118,-0.00416315529861522,15432,"2005-06",162300,-0.175600739371534,"2003-03","2005-Q2"
2013-09-30,"East Brunswick","NJ","New York","Middlesex",856,301700,-0.02614590058102,-0.0388658808537751,-0.0124386252045827,-0.0388465767791468,-0.00540427695303614,15476,"2006-06",417200,-0.276845637583893,"2003-04","2006-Q2"
2013-09-30,"Grand Blanc Township","MI","Flint","Genesee",857,125800,0.0145161290322581,0.0465890183028286,0.184557438794727,-0.0098754311325655,-0.0255730122809436,13207,"2005-11",176600,-0.287655719139298,,"2005-Q4"
2013-09-30,"Smyrna","TN","Nashville","Rutherford",858,142200,0.00140845070422535,0.0252343186733958,0.0838414634146342,-0.00375479943654955,0.0186575584048698,15474,"2007-08",147200,-0.0339673913043478,"2006-08","2007-Q3"
2013-09-30,"Cleveland Heights","OH","Cleveland","Cuyahoga",859,100800,-0.0165853658536585,0.0100200400801603,0.06553911205074,-0.0318371002397533,-0.0252686041878158,13428,"2007-01",145100,-0.305306685044797,"1999-06","2007-Q1"
